event_id,id,name,match_id,season,competition,team,formation
ee917936-9c91-4680-92ec-1b5f2467667d,35,Starting XI,303682,2019/2020,La Liga,Levante UD,442
eae9e4da-8943-4eb9-a7bf-20a5ae54cca2,35,Starting XI,3773369,2020/2021,La Liga,Barcelona,3421
caf6d623-9aca-405c-b515-e0d46fcb3499,36,Tactical Shift,3749552,2003/2004,Premier League,Manchester United,4231
87526918-8b52-42b1-be8c-2b02752bb1a9,35,Starting XI,3749526,2003/2004,Premier League,Arsenal,442
f2493899-fb0d-427d-b9c7-4c9b606e621f,36,Tactical Shift,3773571,2020/2021,La Liga,Real Valladolid,442
073b74b2-ccb4-496a-be59-43937f64ab1c,35,Starting XI,3749526,2003/2004,Premier League,Charlton Athletic,442
e938206f-27dd-4e99-af66-a39076ad1ed4,35,Starting XI,303421,2019/2020,La Liga,Barcelona,433
8d1625df-7487-411c-a8f6-4afeb5e67ee6,36,Tactical Shift,16136,2018/2019,La Liga,Barcelona,4231
7e54c6b6-64a8-4d19-a46e-80b855c7b2a2,35,Starting XI,3749522,2003/2004,Premier League,Wolverhampton Wanderers,451
85b0fce4-a85f-4c74-9105-1085c106c6af,36,Tactical Shift,3749590,2003/2004,Premier League,Arsenal,442
f039cdc9-9ef4-4b3b-8907-b6293a55829c,36,Tactical Shift,303615,2019/2020,La Liga,Espanyol,41212
