name,id,jersey,team,country
Alejandro Berenguer Remiro,7478,12,Athletic Club,Spain
Jon Ander Garrido Moracia,24712,5,Cádiz,Spain
Andrés Tomás Prieto Albert,6848,1,Espanyol,Spain
Raúl Rodríguez Navas,6693,22,Real Sociedad,Spain
Lee Bowyer,40228,29,Newcastle United,England
Martin Ødegaard,8252,21,Real Sociedad,Norway
Lucas Pérez Martínez,6732,7,Deportivo Alavés,Spain
Lluis Andreu i Ruiz,41859,45,Elche,Spain
Emmanuel Okyere Boateng,6678,21,Levante UD,Ghana
Claude Makélélé,20254,4,Chelsea,France
Damien Johnson,40293,0,Birmingham City,Northern Ireland
Luis Jan Piers Advíncula Castrillón,5521,17,Rayo Vallecano,Peru
Olivier Bernard,40233,35,Newcastle United,France
Colin Cooper,40405,28,Middlesbrough,England
Alejandro Darío Gómez,7006,24,Sevilla,Argentina
Jason Joseph Euell,40374,9,Charlton Athletic,Jamaica
Paulo André Rodrigues de Oliveira,6708,12,Eibar,Portugal
Francisco Reis Ferreira,23445,6,Valencia,Portugal
Pablo Daniel Piatti,6763,19,Espanyol,Argentina
Iker Muniain Goñi,6842,10,Athletic Club,Spain
Sergio Canales Madrazo,6673,6,Real Betis,Spain
Gerard Barri Paytuvi,41650,32,Elche,Spain
Aliou Cissé,40303,0,Birmingham City,Senegal
Eyal Berkovic,40216,0,Manchester City,Israel
Arturo Erasmo Vidal Pardo,8206,22,Barcelona,Chile
Stephen Carr,40318,2,Tottenham Hotspur,Ireland
Óscar Guido Trejo,11540,8,Rayo Vallecano,Argentina
Dean Sturridge,40306,29,Wolverhampton Wanderers,England
Mario Gaspar Pérez Martínez,6772,2,Villarreal,Spain
Youssef En-Nesyri,6301,26,Leganés,Morocco
Kevin-Prince Boateng,8668,19,Barcelona,Ghana
Darko Brašanac,6604,20,Deportivo Alavés,Serbia
İsmail Köybaşı,16538,11,Granada,Turkey
Arnau Fàbrega Mañas,50912,31,Granada,Spain
Frank Lampard,20330,8,Chelsea,England
Takashi Inui,5687,8,Real Betis,Japan
Antonio Sivera Salvá,9748,13,Deportivo Alavés,Spain
Jorge Pulido Mayoral,11677,14,Huesca,Spain
Alejandro Gálvez Jimena,6924,23,Rayo Vallecano,Spain
Munir El Haddadi Mohamed,6616,19,Barcelona,Morocco
Íñigo Martínez Berridi,6665,4,Athletic Club,Spain
Jasper Cillessen,8652,13,Barcelona,Netherlands
Radostin Kishishev,13808,2,Charlton Athletic,Bulgaria
Ronald Federico Araújo da Silva,32480,33,Barcelona,Uruguay
Alejandro Remiro Gargallo,32185,1,Real Sociedad,Spain
Luis Jesús Rioja González,24049,11,Deportivo Alavés,Spain
Carlos Neva Tey,25702,15,Granada,Spain
Miguel Rodríguez Vidal,47445,32,Celta Vigo,Spain
Johnnie Jackson,3872,32,Tottenham Hotspur,England
Sergio Ramos García,5201,4,Real Madrid,Spain
Mohamed Salisu,30519,28,Real Valladolid,Ghana
Diego López Rodríguez,6768,13,Espanyol,Spain
Juan Camilo Hernández Suárez,11671,9,Huesca,Colombia
Gilbert Gianelli Imbula Wanga,4346,12,Rayo Vallecano,"Congo, (Kinshasa)"
Ivan Šaponjić,34532,17,Atlético Madrid,Serbia
Eiður Smári Guðjohnsen,11270,22,Chelsea,Iceland
Graham Stack,42458,33,Arsenal,Ireland
Luuk de Jong,20033,19,Sevilla,Netherlands
Miguel Ángel Garrido Cifuentes,7897,23,Elche,Spain
Ryan Giggs,20175,11,Manchester United,Wales
Dimitri Foulquier,4546,24,Getafe,Guadeloupe
João Pedro Neves Filipe,23627,40,Real Valladolid,Portugal
Shaka Hislop,38403,1,Portsmouth,Trinidad and Tobago
Oswaldo Giroldo Júnior,40331,10,Middlesbrough,Brazil
Steve Howey,38569,24,Leicester City,England
Joan Sastre Vanrell,24089,2,Mallorca,Spain
Jérémie Aliadière,40255,0,Arsenal,France
Lucas Ariel Ocampos,4345,5,Sevilla,Argentina
John Guidetti,6038,10,Deportivo Alavés,Sweden
Jean-Clair Todibo,11532,6,Barcelona,France
Mohamed Aiman Moukhliss Agmir,105324,35,Real Valladolid,Spain
Aleksandar Trajkovski,30512,17,Mallorca,"Macedonia, Republic of"
Cristian Portugués Manzanera,6582,9,Girona,Spain
José Manuel Cabrera López,49302,27,Villarreal,Spain
Pere Milla Peña,12072,22,Eibar,Spain
Kenny Miller,10525,16,Wolverhampton Wanderers,Scotland
Lionel Andrés Messi Cuccittini,5503,10,Barcelona,Argentina
Hugo Mallo Novegil,6805,2,Celta Vigo,Spain
Marcos Mauro López Gutiérrez,24593,4,Cádiz,Argentina
Sergino Dest,21881,2,Barcelona,United States of America
Junichi Inamoto,40409,6,Fulham,Japan
Mario Hermoso Canseco,6790,22,Espanyol,Spain
Lee Clark,38566,10,Fulham,England
Hugo Duro Perales,7621,27,Getafe,Spain
Per Frandsen,40389,8,Bolton Wanderers,Denmark
Tony Hibbert,129558,28,Everton,England
Yeremi Jesús Pino Santos,50494,30,Villarreal,Spain
Jozabed Sánchez Ruiz,6852,21,Celta Vigo,Spain
Edwin van der Sar,15036,1,Fulham,Netherlands
Roberto López Alcaide,22801,28,Real Sociedad,Spain
José Antonio Reyes Calderón,23816,9,Arsenal,Spain
Hermann Hreidarsson,40377,12,Charlton Athletic,Iceland
Unai Vencedor Paris,35473,27,Athletic Club,Spain
Júnior Wakalibille Lago,24079,11,Mallorca,Côte d'Ivoire
Carlos Domínguez Cáceres,75546,40,Celta Vigo,Spain
Alan Stubbs,40285,0,Everton,England
Eliaquim Mangala,3389,4,Valencia,France
Uroš Račić,24267,19,Valencia,Serbia
Abdelkabir Abqar,82674,36,Deportivo Alavés,Morocco
Juan Manuel Pérez Ruiz,25062,25,Osasuna,Spain
Lilian Nalis,40238,0,Leicester City,France
Alberto Moreno Pérez,3515,18,Villarreal,Spain
Barry Hayles,40410,15,Fulham,Jamaica
Ole Gunnar Solskjær,15590,20,Manchester United,Norway
