event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
ed33e5da-37ef-4a0d-9c49-9c8896e9cae1,16,Shot,303451,2019/2020,La Liga,Mallorca,Daniel José Rodríguez Vázquez,0.050146796,120.0,44.4,3.7,False,False,False,False,93,Normal,40,Right Foot,98,Off T
f6773020-5f77-46c1-8bb2-47b930d83a7c,16,Shot,303600,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,0.21654022,109.4,43.5,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
51ea06ac-ac75-42ee-bc0c-337cde8120c9,16,Shot,3773552,2020/2021,La Liga,Barcelona,Ousmane Dembélé,0.05796124,117.0,36.9,,False,True,False,False,92,Lob,38,Left Foot,96,Blocked
95510800-7ce4-4b0d-9c91-841ed80ecf78,16,Shot,303504,2019/2020,La Liga,Levante UD,Borja Mayoral Moya,0.054938592,110.3,29.8,,False,False,False,False,91,Half Volley,38,Left Foot,96,Blocked
af9a795e-8c0e-4d65-bbc7-b8bd94241cd4,16,Shot,3749346,2003/2004,Premier League,Leeds United,Jermaine Pennant,0.023448583,109.5,54.8,,False,True,False,False,93,Normal,40,Right Foot,96,Blocked
80f4df2b-a30e-4d0c-8b4c-09d639a07138,16,Shot,16056,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.07439837,114.3,47.6,,False,True,False,False,91,Half Volley,38,Left Foot,101,Wayward
e151aef6-13b8-4cfe-962c-e66efdcc6148,16,Shot,3749108,2003/2004,Premier League,Arsenal,Thierry Henry,0.039122775,115.2,47.1,,False,False,False,False,93,Normal,37,Head,101,Wayward
7ed2896c-6d75-4e8f-8793-57497b2b00c9,16,Shot,303666,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.09181099,118.6,37.4,0.3,False,True,False,False,93,Normal,38,Left Foot,100,Saved
804e0794-e6d3-4a11-9d87-96ffc44740b9,16,Shot,15973,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.029354997,120.0,43.1,4.2,False,False,False,False,93,Normal,38,Left Foot,98,Off T
6c1330ff-3f4c-4818-9f32-b14e69732372,16,Shot,3773631,2020/2021,La Liga,Real Betis,Víctor Ruíz Torre,0.1947324,120.0,39.1,2.1,False,False,False,False,93,Normal,37,Head,97,Goal
