event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
f1924146-f328-45bd-907d-7dd868dcc5c7,21,Foul Won,3773457,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True,False
0789a3cb-d971-4d22-b65e-6bb3e327d6f3,21,Foul Won,3773660,2020/2021,La Liga,Levante UD,Daniel Gómez Alcón,False,True,False
be3b8c37-64cd-4821-8767-66038e19644b,21,Foul Won,3773660,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
bae7cd6e-caad-471d-8e41-8250469b2dc6,21,Foul Won,3749257,2003/2004,Premier League,Leicester City,Paul Dickov,False,False,False
6e457526-2a23-44a1-9310-7eb26645a8f9,21,Foul Won,3773571,2020/2021,La Liga,Real Valladolid,Laureano Antonio Villa Suárez,False,False,False
9c4b1ee3-9d8f-46db-a9bb-d92107c9fe9a,21,Foul Won,3749246,2003/2004,Premier League,Manchester United,Eric Daniel Djemba-Djemba,False,False,False
8ca308ec-690c-40ad-9660-7f7f5477466c,21,Foul Won,16131,2018/2019,La Liga,Eibar,Fabián Ariel Orellana Valenzuela,False,False,False
22f5d954-eda4-4f29-bb8f-cf8fca19b6c6,21,Foul Won,3749462,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,False
07a6a905-9d56-4e69-a34a-278dc3d724ef,21,Foul Won,303596,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False,False
92c69ebd-b228-4f52-875b-1fc74e792f9c,21,Foul Won,3773597,2020/2021,La Liga,Real Sociedad,Alexander Isak,False,False,False
e266c1de-0971-4179-be40-c849bddfbc3f,21,Foul Won,303517,2019/2020,La Liga,Barcelona,Carles Aleña Castillo,False,True,False
e4f451e8-7d24-4853-ba81-b83adce72f47,21,Foul Won,303473,2019/2020,La Liga,Sevilla,Daniel Filipe Martins Carriço,True,False,False
7487cff8-95d8-4c7b-af10-b7d754ef069f,21,Foul Won,3773571,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False,False
b71eddd8-d0c2-4cd8-819c-ff229643c24f,21,Foul Won,303610,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti,False,False,False
001a28a3-fe89-4218-80ec-414b67b9ba06,21,Foul Won,303473,2019/2020,La Liga,Sevilla,Munir El Haddadi Mohamed,False,False,False
b0a3141c-c59f-4262-9d8d-ff75384dc96d,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False,False
9de3633b-8e13-47f5-b64c-2ab5d71abc98,21,Foul Won,3773672,2020/2021,La Liga,Sevilla,Jesús Joaquín Fernández Sáez de la Torre,False,False,False
