event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
008ac2d8-72c3-4255-a3f4-d30e2621c300,23,Goal Keeper,3749403,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
12f7563b-8513-4832-9d51-547d6f4e5689,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,,,,,,
137dc385-f3ef-491c-9ccc-6a43b737077e,23,Goal Keeper,3749068,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,,,15,Success
a42b1a43-caf1-4f6d-9d97-c53ef9ef40e2,23,Goal Keeper,3773477,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
1a669e50-deaf-44cc-8092-b5aa09ed2606,23,Goal Keeper,16289,2018/2019,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,46,Standing,41,Right Hand,59,Touched Out
95089a60-5c23-4758-bbd7-e16b0d4d94bd,23,Goal Keeper,3749522,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
6605788d-6c04-4417-926f-e148d09f111c,23,Goal Keeper,303707,2019/2020,La Liga,Real Betis,Joel Robles Blázquez,44,Set,,,,,,
178e648f-2bc2-4045-b3a1-ebed1ff85c9f,23,Goal Keeper,3749274,2003/2004,Premier League,Arsenal,Jens Lehmann,42,Moving,,,,,,
f35a5189-bde9-4851-8c98-683a2245d76d,23,Goal Keeper,3749253,2003/2004,Premier League,Liverpool,Jerzy Dudek,44,Set,45,Diving,35,Both Hands,59,Touched Out
c19130b3-251a-4ea9-82cc-8013abb07e45,23,Goal Keeper,3764661,2020/2021,La Liga,Athletic Club,Unai Simón Mendibil,44,Set,46,Standing,35,Both Hands,56,Saved Twice
ffd0bcbe-51e0-4995-b469-6a79726b6a15,23,Goal Keeper,15973,2018/2019,La Liga,Huesca,Axel Werner,44,Set,46,Standing,,,55,No Touch
04973bd7-5fd9-4c2c-b738-186e2a940561,23,Goal Keeper,16131,2018/2019,La Liga,Eibar,Asier Riesgo Unamuno,,,,,,,47,Claim
09847380-de24-4e94-97b8-9bafc3135ec9,23,Goal Keeper,303470,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
02b66f09-b717-4c08-b1e8-9cb321ee2884,23,Goal Keeper,3749196,2003/2004,Premier League,Tottenham Hotspur,Kasey Keller,44,Set,,,,,,
c6d8c8c9-2870-48dc-ac98-f77069e8996b,23,Goal Keeper,3773689,2020/2021,La Liga,Villarreal,Sergio Asenjo Andrés,42,Moving,45,Diving,35,Both Hands,52,In Play Danger
b9f25324-5d8e-4e35-a686-ea7e2c3a022e,23,Goal Keeper,303473,2019/2020,La Liga,Sevilla,Tomáš Vaclík,42,Moving,46,Standing,35,Both Hands,15,Success
0ed84615-642e-4658-ad27-1911b0ba8190,23,Goal Keeper,3749296,2003/2004,Premier League,Portsmouth,Shaka Hislop,44,Set,46,Standing,40,Right Foot,53,In Play Safe
961d4752-5948-4d89-80d4-49799a068318,23,Goal Keeper,16240,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,41,Right Hand,59,Touched Out
a6abcb9d-a985-4ab6-8634-28981a773b5f,23,Goal Keeper,3749528,2003/2004,Premier League,Newcastle United,Shay Given,44,Set,,,,,,
f4d43898-99bb-4cc8-b093-6ed884474da8,23,Goal Keeper,16149,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,15,Success
40208ffd-d089-4fe2-9d89-bdecbdc72b00,23,Goal Keeper,3749117,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,,,47,Claim
5e928f6e-4b25-4621-9e5c-83afeafa98f8,23,Goal Keeper,3773587,2020/2021,La Liga,Getafe,David Soria Solís,,,,,,,15,Success
2b1e3651-caf1-4ced-a030-492636f1d183,23,Goal Keeper,15998,2018/2019,La Liga,Leganés,Iván Cuéllar Sacristán,44,Set,46,Standing,35,Both Hands,15,Success
7c1b451f-f77f-44c4-b26e-6796ba094541,23,Goal Keeper,16136,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,42,Moving,46,Standing,,,55,No Touch
ddfbca82-2577-4fc8-a202-9d0560509429,23,Goal Keeper,3749526,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,46,Standing,35,Both Hands,59,Touched Out
1d0a64b4-b9b8-4ca8-9305-b31c7b53a8b3,23,Goal Keeper,303516,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,42,Moving,46,Standing,,,55,No Touch
c92cc4ce-e8b8-4980-b681-16df6b7c4b4b,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,46,Standing,35,Both Hands,15,Success
c7cd6ff0-7e6f-4cc1-97a1-c1a4da573f0e,23,Goal Keeper,16265,2018/2019,La Liga,Real Sociedad,Gerónimo Rulli,44,Set,46,Standing,35,Both Hands,15,Success
48680d9e-0a4e-45a4-966b-5776bcfedada,23,Goal Keeper,3773457,2020/2021,La Liga,Celta Vigo,Iván Villar Martínez,44,Set,,,,,,
bb37ac73-7b67-492a-a551-589a744122f8,23,Goal Keeper,16196,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,15,Success
949dad19-7c57-4e25-b96c-46ec1260c2db,23,Goal Keeper,3773377,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,45,Diving,35,Both Hands,59,Touched Out
b6df1388-8319-4c43-b7d1-53cbccd8d1a9,23,Goal Keeper,303548,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
ac688c8f-3882-422d-9a45-8475b53078b8,23,Goal Keeper,16190,2018/2019,La Liga,Sevilla,Tomáš Vaclík,44,Set,45,Diving,,,55,No Touch
f626e5ba-e77e-4829-a685-24a0c91248bb,23,Goal Keeper,3773497,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
77ba8e53-9a30-493f-a8ae-699f1defbe11,23,Goal Keeper,3749296,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
68b39db4-9eb2-41d4-9857-1739cb98f78b,23,Goal Keeper,3749133,2003/2004,Premier League,Aston Villa,Thomas Løvendahl Sørensen,44,Set,46,Standing,35,Both Hands,15,Success
68ab8b6e-a7c8-4375-895a-54eb85bfe946,23,Goal Keeper,16275,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,56,Saved Twice
ba713bf9-7fb5-4990-8a36-64b5ecc4fec3,23,Goal Keeper,3749453,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
da3e8b15-78af-40df-8f52-29019312768a,23,Goal Keeper,16073,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
48b75f28-386f-4451-af5a-22c2b1e7c5a2,23,Goal Keeper,16317,2018/2019,La Liga,Eibar,Marko Dmitrović,44,Set,45,Diving,,,55,No Touch
e54115ef-8bbb-4580-b4e3-c3429b853ac5,23,Goal Keeper,3749462,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,45,Diving,35,Both Hands,15,Success
d3cc19c8-df94-41b7-a8b4-ffacc10ff140,23,Goal Keeper,16173,2018/2019,La Liga,Athletic Club,Iago Herrerín Buisán,44,Set,,,,,,
