event_id,id,name,match_id,season,competition,team,player,aerial_won,body_id,body_name
7c418d10-d468-4d4e-ab37-ecafbbb3629b,9,Clearance,16073,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti,False,37,Head
d7e9baba-2fc0-4752-ab7a-a9c1dc7a273a,9,Clearance,16205,2018/2019,La Liga,Rayo Vallecano,Alejandro Gálvez Jimena,False,38,Left Foot
890efc62-eb90-4626-a249-9045192a2ab3,9,Clearance,3749552,2003/2004,Premier League,Manchester United,Quinton Fortune Kolobea,True,37,Head
17364d0a-c392-476a-bfa8-1224aace3856,9,Clearance,16073,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,38,Left Foot
8ba570af-fc95-4e5f-b1cc-ae0030eec87f,9,Clearance,303715,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,37,Head
b46908bb-6fc9-4183-8941-a371ac66a10d,9,Clearance,3749462,2003/2004,Premier League,Birmingham City,Kenny Cunningham,False,37,Head
4e0f2457-5f28-4329-aff8-c2f1f60e1fd6,9,Clearance,3749253,2003/2004,Premier League,Liverpool,John Arne Semundseth Riise,False,38,Left Foot
930184ea-e639-41a3-b85a-ea8d4bf3c8a9,9,Clearance,16136,2018/2019,La Liga,Leganés,Rodrigo Tarín Higón,False,37,Head
a41a17b4-d887-4cdf-9795-5a2aa9d139bd,9,Clearance,3764440,2020/2021,La Liga,Elche,José Manuel Sánchez Guillén,False,40,Right Foot
2879856d-521b-4e53-81ac-b6a3bc93333e,9,Clearance,15986,2018/2019,La Liga,Girona,Juan Pedro Ramírez López,False,40,Right Foot
e391f1d6-c4ca-460a-92da-52dbbf611c32,9,Clearance,3749253,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,True,37,Head
fde0c36c-aef4-407e-9804-c0031de95ed6,9,Clearance,16275,2018/2019,La Liga,Deportivo Alavés,Víctor Laguardia Cisneros,False,40,Right Foot
b730a075-29ac-445d-a24b-494c83752d2d,9,Clearance,303674,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,37,Head
4ccce7a9-32ee-401b-a283-20dc929bd7f3,9,Clearance,3773387,2020/2021,La Liga,Levante UD,Aitor Fernández Abarisketa,False,70,Other
5b0ff3f3-791f-4f30-86ef-767faebf8d71,9,Clearance,3749522,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,37,Head
b06bd24b-7511-432d-957c-69252a0443cd,9,Clearance,3773387,2020/2021,La Liga,Levante UD,Aitor Fernández Abarisketa,False,40,Right Foot
060f8960-bba1-4057-8768-ff8598735a2c,9,Clearance,3749233,2003/2004,Premier League,Manchester City,Trevor Sinclair,False,37,Head
9adbb770-a42c-4024-9da2-19b07778835c,9,Clearance,3773466,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,False,40,Right Foot
f89a180b-e31f-4e28-bfcf-4867a119d60a,9,Clearance,16317,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,True,37,Head
b7f9a23d-2c1a-44fd-bc24-d487b0aedfb8,9,Clearance,303652,2019/2020,La Liga,Espanyol,Edinaldo Gomes Pereira,False,40,Right Foot
532ab84e-8aed-4da5-8979-e23e2738a12e,9,Clearance,15946,2018/2019,La Liga,Deportivo Alavés,Guillermo Alfonso Maripán Loaysa,False,37,Head
1fbe0b58-d9f6-49c5-96bf-4ed8c70a6632,9,Clearance,16317,2018/2019,La Liga,Barcelona,Malcom Filipe Silva de Oliveira,False,37,Head
b6e57395-c003-4915-ba46-6d4389a54dd9,9,Clearance,3749253,2003/2004,Premier League,Liverpool,Steven Gerrard,True,37,Head
bd255de6-c99a-4bb0-ac6d-d540b135f848,9,Clearance,3749346,2003/2004,Premier League,Leeds United,René Salomon Olembé-Olembé,True,37,Head
94c81e29-9380-4c31-860e-e41d08e5b09a,9,Clearance,3764661,2020/2021,La Liga,Barcelona,Frenkie de Jong,True,37,Head
c4d7e55a-ae3b-4683-8c5c-3b1bc5acf027,9,Clearance,3773547,2020/2021,La Liga,Osasuna,Jon Moncayola Tollar,False,37,Head
e3f42cb9-d25f-46e6-9a10-e0b04d2d6224,9,Clearance,3749346,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,40,Right Foot
b098ed16-8504-43cf-bd08-890d14bdce07,9,Clearance,3749493,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,38,Left Foot
d9505758-18b9-4cdf-a79e-93c9434945ac,9,Clearance,3749552,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,37,Head
448635b7-9c47-42ac-9fa9-4de8d2280920,9,Clearance,303451,2019/2020,La Liga,Mallorca,Ante Budimir,False,37,Head
72afa30c-fd94-47f6-b74e-cf64a2ea0ceb,9,Clearance,16131,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,False,38,Left Foot
bf4b0ef2-b7ab-4928-9435-f54faec1599c,9,Clearance,16095,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,38,Left Foot
f8d931c6-8a11-4d0a-8521-e4ad3de183d0,9,Clearance,3749278,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,38,Left Foot
9c1120b3-69f3-4f56-bd9a-d1a9f1d70d68,9,Clearance,3773497,2020/2021,La Liga,Real Madrid,Lucas Vázquez Iglesias,False,40,Right Foot
5209a746-dffc-489f-8823-2c5ccc3edc61,9,Clearance,3773403,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,38,Left Foot
413076f7-5b3a-444b-817b-a42f712c5c6d,9,Clearance,3749493,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,38,Left Foot
fa2b5379-b606-4ebc-b600-6d47215c0108,9,Clearance,3749192,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,40,Right Foot
9bb1e299-2a4e-4b39-91f5-913c40c1a129,9,Clearance,3749552,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,37,Head
2aa53ac9-381a-46a0-9caf-c5229f8bb522,9,Clearance,3749276,2003/2004,Premier League,Chelsea,John Terry,False,37,Head
d92c37cd-711e-4064-b91f-6a06133c35fb,9,Clearance,3773547,2020/2021,La Liga,Osasuna,Raúl Rodríguez Navas,False,40,Right Foot
d08ee400-ca69-4246-aee9-2a8e27e6d8f8,9,Clearance,3749052,2003/2004,Premier League,Arsenal,Ashley Cole,False,37,Head
d54a813e-80b9-4df8-a2ac-24a4e345a95c,9,Clearance,3773547,2020/2021,La Liga,Osasuna,Unai García Lugea,False,37,Head
469ddeee-e510-4152-b7b5-7d2d1f9fe129,9,Clearance,3749552,2003/2004,Premier League,Arsenal,Kolo Habib Touré,True,37,Head
1e6a36b5-2c02-4cd2-b56d-c15517a6328e,9,Clearance,303715,2019/2020,La Liga,Leganés,Kenneth Josiah Omeruo,False,37,Head
a364df15-2be4-4930-9c88-710d2d9079b5,9,Clearance,303516,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,37,Head
5f291838-5a7f-4973-8865-027204663a06,9,Clearance,16029,2018/2019,La Liga,Sevilla,Tomáš Vaclík,False,40,Right Foot
4e5e3b3c-7f0c-4fb6-9764-1edbadf57fef,9,Clearance,3773565,2020/2021,La Liga,Barcelona,Sergino Dest,False,37,Head
7beeac37-c39f-49cb-9953-be48626aa897,9,Clearance,3749133,2003/2004,Premier League,Arsenal,Patrick Vieira,False,37,Head
a1a923af-82f6-4e93-963d-fdbf527df1ef,9,Clearance,16149,2018/2019,La Liga,Barcelona,Clément Lenglet,True,37,Head
66bc37c8-cf4e-41ae-b8eb-f30a6143ed2f,9,Clearance,3749133,2003/2004,Premier League,Arsenal,Pascal Cygan,False,37,Head
b171efc4-45ad-48ae-9192-f335aa1e3f54,9,Clearance,3749528,2003/2004,Premier League,Arsenal,Martin Keown,True,37,Head
