event_id,id,name,match_id,season,competition,team,player,overrun,nutmeg,outcome_id,outcome_name,no_touch
aaffb146-d88d-4854-8726-38404d759703,14,Dribble,3773428,2020/2021,La Liga,Barcelona,Sergino Dest,False,False,8,Complete,False
a2d3a539-19f3-4fe9-83e7-2056e096bc24,14,Dribble,3773571,2020/2021,La Liga,Barcelona,Philippe Coutinho Correia,False,False,9,Incomplete,False
a94f539a-8d83-4a27-934f-51c2071c8b93,14,Dribble,3749346,2003/2004,Premier League,Leeds United,Jermaine Pennant,False,False,8,Complete,False
665ddd32-8ed2-4484-ab63-2a402885fc53,14,Dribble,3749253,2003/2004,Premier League,Liverpool,John Arne Semundseth Riise,False,False,8,Complete,False
8f00b845-8b66-4d7b-a437-cdfb7f87aad2,14,Dribble,303596,2019/2020,La Liga,Real Madrid,Francisco Román Alarcón Suárez,False,False,8,Complete,False
950463dd-722c-4809-9b1d-92f5b01594ad,14,Dribble,3773523,2020/2021,La Liga,Real Sociedad,Adnan Januzaj,False,False,8,Complete,False
b506e601-693e-44da-b1a1-2d1f042786ec,14,Dribble,3749346,2003/2004,Premier League,Leeds United,Jermaine Pennant,False,False,9,Incomplete,False
cd34f8b6-a64d-4969-8c41-e0bf976ccbdc,14,Dribble,303596,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False,9,Incomplete,False
56c1243d-b512-40e4-93ec-c5626e2b0d19,14,Dribble,16248,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False,8,Complete,False
b5be1692-be83-4967-8f6f-f0666203ca2c,14,Dribble,303479,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
e5bcccab-640f-497c-971b-a5442b7c8110,14,Dribble,16317,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,8,Complete,False
9b5b472e-c880-43c8-b9e6-aab8d5566805,14,Dribble,3749453,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False,9,Incomplete,False
2136c59a-0def-4856-89b9-21177a3c82a5,14,Dribble,15998,2018/2019,La Liga,Barcelona,Munir El Haddadi Mohamed,False,False,8,Complete,False
6e02edb9-9569-4eeb-a24e-0b9b99b370d6,14,Dribble,3749108,2003/2004,Premier League,Aston Villa,Ulises Hernán de la Cruz Bernardo,False,False,8,Complete,False
a2301df5-70a6-449b-8b3f-2c9cc158b364,14,Dribble,3749253,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,9,Incomplete,False
a821da70-5ec3-4b29-82d0-8629c48b5914,14,Dribble,3773587,2020/2021,La Liga,Barcelona,Ousmane Dembélé,False,False,8,Complete,False
dd6e4163-5910-4053-90a8-0cb72996b3fa,14,Dribble,303600,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
728d9027-e86f-4db4-92e7-1f1a72c82d29,14,Dribble,16248,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,8,Complete,False
1735e49f-5deb-4e43-8e1c-4da165314c85,14,Dribble,3749153,2003/2004,Premier League,Middlesbrough,Joseph-Desiré Job,False,False,8,Complete,False
