event_id,id,name,match_id,season,competition,team,player,offensive,failure
73f8faa5-e744-42f0-8306-511aaadbf8c5,2,Ball Recovery,3749431,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,False
9fa77ee4-fde8-48e4-8792-dbde8bdc0ee0,2,Ball Recovery,3749233,2003/2004,Premier League,Manchester City,Jihai Sun,False,True
de8f5415-6277-4d10-9359-4d75c60e47e1,2,Ball Recovery,3773369,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False
3a3fb057-04e8-45db-a160-01ba28ccae72,2,Ball Recovery,303517,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
f46eaeac-3117-4c94-b38f-616884e010d6,2,Ball Recovery,3749233,2003/2004,Premier League,Arsenal,Ashley Cole,False,False
379e22b0-99e0-4cf1-8bd8-b710f7c84799,2,Ball Recovery,3749590,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False
1180d7da-6b5d-4bb9-b575-fc55b7a2b2be,2,Ball Recovery,16182,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,True
232dfccd-4dad-4903-bd9f-d1260c98a0c2,2,Ball Recovery,3749276,2003/2004,Premier League,Chelsea,Mario Melchiot,False,False
8419e1b8-0d70-4872-94a7-c5ae4be89c7e,2,Ball Recovery,3749360,2003/2004,Premier League,Arsenal,Patrick Vieira,False,False
d348e366-02fa-4a69-9074-89f782e9f6c9,2,Ball Recovery,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Oleg Luzhny,False,False
2ccd10c1-bc23-4e74-96fa-e62758c243c9,2,Ball Recovery,303696,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False
d6e592fd-6184-4ef7-b407-28c9421c88b0,2,Ball Recovery,3773474,2020/2021,La Liga,Real Valladolid,Roque Mesa Quevedo,False,False
77028f97-10a4-4905-a619-09e397440c92,2,Ball Recovery,16182,2018/2019,La Liga,Real Valladolid,Anuar Mohamed Tuhami,False,False
e5e3a86b-0140-4bf3-9038-771366f8310e,2,Ball Recovery,3749296,2003/2004,Premier League,Portsmouth,Shaka Hislop,False,False
6b34a155-7823-4305-a038-b51f06e5e9ae,2,Ball Recovery,16095,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,False,False
62f19db0-028b-4c62-bea3-a024b58dd0d2,2,Ball Recovery,3749068,2003/2004,Premier League,Arsenal,Thierry Henry,False,True
f91c5395-6d62-45a7-b6d6-fbc35bff19ea,2,Ball Recovery,3749528,2003/2004,Premier League,Newcastle United,Craig Bellamy,False,False
33d0e944-a46d-408f-9c81-f87ae92b6ad3,2,Ball Recovery,3749493,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False
d3eba2d8-3903-48be-9aa6-1a10a1ec1beb,2,Ball Recovery,3749358,2003/2004,Premier League,Middlesbrough,George Boateng,False,False
